aspirador,cisterna,conversacion,cubiertos_sartenes,despertador,ducha,estractor,grifo_banio,grifo_cocina,impresora,microondas,persiana,puerta,telefono,timbre
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,0,97,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,
0,0,0,0,0,2,0,1,98,0,0,0,1,0,1,
0,0,2,0,0,0,0,0,1,99,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,
0,0,0,0,0,1,0,0,1,1,0,0,99,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,
