sonido, prediccion
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","microondas"
"ducha","grifo_cocina"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"cisterna","idle"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","puerta"
"idle","ducha"
