sonido, prediccion
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","cubiertos_sartenes"
"grifo_banio","grifo_banio"
"grifo_banio","grifo_banio"
"grifo_banio","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"ducha","idle"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","ducha"
"ducha","idle"
"ducha","idle"
"ducha","grifo_cocina"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cisterna"
"cisterna","cubiertos_sartenes"
"cisterna","cubiertos_sartenes"
"cisterna","cubiertos_sartenes"
"cisterna","cubiertos_sartenes"
"cisterna","cisterna"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","puerta"
"idle","idle"
