aspirador,cisterna,conversacion,cubiertos_sartenes,despertador,ducha,estractor,grifo_banio,grifo_cocina,impresora,microondas,persiana,puerta,telefono,timbre
99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,91,0,0,0,0,0,0,1,0,2,0,0,0,
0,0,0,98,0,1,0,0,0,0,0,0,0,0,0,
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,
1,0,0,1,0,94,0,0,6,2,0,0,0,0,0,
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,98,0,0,0,1,0,0,0,
0,0,0,0,0,3,0,1,91,0,0,0,0,0,0,
0,0,2,1,0,2,0,0,0,95,0,1,0,0,3,
0,0,0,0,0,0,0,0,0,1,91,0,1,0,1,
0,0,5,0,0,0,0,0,1,1,1,94,1,0,0,
0,0,0,0,0,0,0,1,2,0,8,2,98,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,
